,trustLevel,totalScanTimeInSeconds,grandTotal,lineItemVoids,scansWithoutRegistration,quantityModifications,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud
0,5.0,0.5429411764705883,0.5479410880673281,7.0,0.0,3.0,0.404581983571898,0.31016276006318433,0.16896551724137943,0.0
2,3.0,0.8147058823529412,0.6226830978859834,3.0,10.0,5.0,0.11981731207208318,0.24504150098596042,0.16153846153846155,0.0
3,6.0,0.9764705882352941,0.9247570383729087,8.0,4.0,4.0,0.23434356231996048,0.3080319104180121,0.1931034482758617,0.0
5,1.0,0.37588235294117645,0.11101092074942392,11.0,5.0,2.0,0.49858621887261595,0.08604701600860802,0.2961538461538458,1.0
7,2.0,0.8317647058823529,0.2283338342851418,0.0,8.0,4.0,0.08820131782802966,0.0881670437045106,0.0,0.0
8,6.0,0.48882352941176466,0.655545536519387,7.0,0.0,2.0,0.4128862378357522,0.4065599799573695,0.18148148148148113,0.0
9,2.0,0.3494117647058823,0.41148181544935386,10.0,2.0,4.0,0.5508380232501704,0.3386414720206536,0.25925925925925875,0.0
10,5.0,0.8247058823529412,0.8488127442140069,4.0,2.0,4.0,0.14781188413777385,0.33032500971472933,0.17499999999999982,0.0
11,4.0,0.37235294117647055,0.29025147780783495,8.0,0.0,0.0,0.384490750308142,0.22668722185504228,0.27999999999999975,0.0
12,4.0,0.9441176470588234,0.054603747119527105,4.0,10.0,4.0,0.0774939318899585,0.018758764506535356,0.27999999999999975,0.0
13,4.0,0.9258823529411765,0.1698226630598137,7.0,4.0,4.0,0.22898637021356266,0.059416178328369006,0.18148148148148113,0.0
14,6.0,0.8988235294117647,0.5261997795812045,2.0,1.0,4.0,0.18120918184360457,0.1892202630412853,0.06666666666666658,0.0
15,1.0,0.43470588235294116,0.32501753331329536,3.0,1.0,5.0,0.09457742213893951,0.22290311952408984,0.34999999999999964,0.0
16,3.0,0.6847058823529412,0.42971646127642527,11.0,10.0,0.0,0.2463173026418855,0.19796949082927587,0.34999999999999964,0.0
17,6.0,0.27,0.7998196573489632,6.0,10.0,4.0,0.6025100635917353,0.808809941177709,0.17499999999999982,0.0
19,3.0,0.9370588235294116,0.2543833283238153,7.0,4.0,3.0,0.15659027276982931,0.08802297520429572,0.257894736842105,0.0
20,3.0,0.9176470588235294,0.597134555655746,1.0,2.0,2.0,0.12425729565888938,0.21066462761397603,0.04666666666666664,0.0
21,4.0,0.808235294117647,0.02695120729385834,6.0,4.0,0.0,0.04083485661994836,0.010682685857516538,0.8399999999999991,0.0
22,4.0,0.47235294117647053,0.9871756337040379,0.0,5.0,2.0,0.11966864655278436,0.6305760726526032,0.0,0.0
