,trustLevel,totalScanTimeInSeconds,lineItemVoids,scansWithoutRegistration,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud
0,5.0,0.5429411764705883,7.0,0.0,0.404581983571898,0.31016276006318433,0.16896551724137943,0.0
2,3.0,0.8147058823529412,3.0,10.0,0.11981731207208318,0.24504150098596042,0.16153846153846155,0.0
3,6.0,0.9764705882352941,8.0,4.0,0.23434356231996048,0.3080319104180121,0.1931034482758617,0.0
5,1.0,0.37588235294117645,11.0,5.0,0.49858621887261595,0.08604701600860802,0.2961538461538458,1.0
7,2.0,0.8317647058823529,0.0,8.0,0.08820131782802966,0.0881670437045106,0.0,0.0
8,6.0,0.48882352941176466,7.0,0.0,0.4128862378357522,0.4065599799573695,0.18148148148148113,0.0
9,2.0,0.3494117647058823,10.0,2.0,0.5508380232501704,0.3386414720206536,0.25925925925925875,0.0
10,5.0,0.8247058823529412,4.0,2.0,0.14781188413777385,0.33032500971472933,0.17499999999999982,0.0
11,4.0,0.37235294117647055,8.0,0.0,0.384490750308142,0.22668722185504228,0.27999999999999975,0.0
12,4.0,0.9441176470588234,4.0,10.0,0.0774939318899585,0.018758764506535356,0.27999999999999975,0.0
13,4.0,0.9258823529411765,7.0,4.0,0.22898637021356266,0.059416178328369006,0.18148148148148113,0.0
14,6.0,0.8988235294117647,2.0,1.0,0.18120918184360457,0.1892202630412853,0.06666666666666658,0.0
15,1.0,0.43470588235294116,3.0,1.0,0.09457742213893951,0.22290311952408984,0.34999999999999964,0.0
16,3.0,0.6847058823529412,11.0,10.0,0.2463173026418855,0.19796949082927587,0.34999999999999964,0.0
17,6.0,0.27,6.0,10.0,0.6025100635917353,0.808809941177709,0.17499999999999982,0.0
19,3.0,0.9370588235294116,7.0,4.0,0.15659027276982931,0.08802297520429572,0.257894736842105,0.0
20,3.0,0.9176470588235294,1.0,2.0,0.12425729565888938,0.21066462761397603,0.04666666666666664,0.0
21,4.0,0.808235294117647,6.0,4.0,0.04083485661994836,0.010682685857516538,0.8399999999999991,0.0
22,4.0,0.47235294117647053,0.0,5.0,0.11966864655278436,0.6305760726526032,0.0,0.0
25,5.0,0.40294117647058825,8.0,7.0,0.1567185300777192,0.5972426231568199,0.6222222222222217,0.0
26,3.0,0.8070588235294117,10.0,3.0,0.2809949120383141,0.09142730022084936,0.24137931034482768,0.0
28,6.0,0.8811764705882352,6.0,7.0,0.19394440667136761,0.1482709725724053,0.1909090909090909,0.0
29,5.0,0.7670588235294117,4.0,3.0,0.18996291366045168,0.38300178959956455,0.14736842105263165,0.0
32,5.0,0.44705882352941173,2.0,10.0,0.4127634448504245,0.5296584639111734,0.055999999999999946,0.0
33,2.0,0.72,2.0,0.0,0.06855786420908104,0.21553660614131512,0.19999999999999998,0.0
35,2.0,0.12,0.0,9.0,0.21529766259577915,0.25689097166932345,0.0,0.0
36,5.0,0.4135294117647058,0.0,10.0,0.22525376064120303,0.5779013737980784,0.0,0.0
37,2.0,0.7447058823529411,7.0,9.0,0.2599559311640946,0.26775801859241055,0.1959999999999998,1.0
38,5.0,0.8411764705882352,7.0,6.0,0.17389358860082435,0.35127946027838336,0.257894736842105,0.0
39,4.0,0.42117647058823526,4.0,5.0,0.15064894604925053,0.1614221777399544,0.31111111111111045,0.0
41,2.0,0.2888235294117647,11.0,5.0,0.1842691070986887,0.5837480749772958,0.962499999999999,0.0
42,4.0,0.518235294117647,2.0,3.0,0.2137453791754929,0.35374983597041054,0.093333333333333,0.0
45,6.0,0.48764705882352943,7.0,2.0,0.14750538012769596,0.5795636556877505,0.4899999999999995,0.0
46,6.0,0.7658823529411765,7.0,7.0,0.25319621894726024,0.3010731826261005,0.1959999999999998,0.0
47,6.0,0.7605882352941176,9.0,8.0,0.25485410482628346,0.2807715624176406,0.2519999999999997,0.0
48,6.0,0.9935294117647059,0.0,0.0,0.09828083610899803,0.17940760015418356,0.0,0.0
50,4.0,0.2858823529411765,0.0,0.0,0.015251135221117934,0.8789121103890596,0.0,0.0
51,3.0,0.86,2.0,2.0,0.2551656351934116,0.09575264567671511,0.049999999999999926,0.0
52,1.0,0.2805882352941176,3.0,5.0,0.18872210358832664,0.8360830390542523,0.26249999999999973,0.0
53,1.0,0.7376470588235293,5.0,8.0,0.2839996933584037,0.14962746014653605,0.12962962962962937,1.0
54,3.0,0.5011764705882352,2.0,4.0,0.2815037573764086,0.08551342386301979,0.07368421052631582,0.0
55,1.0,0.3747058823529411,4.0,10.0,0.20623921105909554,0.05630723878884739,0.2545454545454545,0.0
56,1.0,0.7899999999999999,9.0,0.0,0.18469550373871252,0.24586108188525033,0.33157894736842086,0.0
57,6.0,0.32999999999999996,7.0,7.0,0.3168036673596297,0.18696370660687917,0.32666666666666655,0.0
58,2.0,0.12941176470588234,1.0,7.0,0.6762771913619483,0.864188116983277,0.043749999999999956,0.0
60,5.0,0.6505882352941176,7.0,2.0,0.11243284729450131,0.2329601390633619,0.4899999999999995,0.0
